shrid2,pc01_state_id,pc01_district_id
01-18-19-0003-02189900,18,19
01-18-19-0003-02191800,18,19
01-18-19-0003-02192400,18,19
01-18-19-0003-02192500,18,19
01-18-19-0003-02194800,18,19
01-18-19-0003-02196000,18,19
01-18-19-0003-02196300,18,19
01-18-19-0003-02196500,18,19
01-18-19-0003-02196600,18,19
01-18-19-0003-02196800,18,19
01-18-19-0003-02198600,18,19
01-18-19-0003-02198900,18,19
01-18-19-0003-02199200,18,19
01-18-19-0003-02199400,18,19
01-18-19-0003-02199500,18,19
01-18-19-0003-02199700,18,19
01-18-19-0003-02201100,18,19
01-18-19-0003-02201800,18,19
01-18-19-0003-02205100,18,19
01-18-19-0003-02210400,18,19
